I0925 17:52:37.271069       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0925 17:52:37.462338     572 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0925 17:52:37.462478     572 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.462489     572 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0925 17:52:37.462551     572 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.462555     572 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0925 17:52:37.462579      98 server.go:2532] initialized server successfully in 191.249808ms
I0925 17:52:37.462614     572 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0925 17:52:37.462619     572 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0925 17:52:37.462623     572 manager.go:88] Migration [MIGRATION_ID_ADOPT_BWG_INSTALLS] is disabled, skipping entirely
W0925 17:52:37.462735     575 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.462765     575 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0925 17:52:37.462839       1 auto_updater.go:281] Last check was less than 15 minutes ago, skipping update (fast path)
W0925 17:52:37.462886     575 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.462898       1 common.go:152] Launching CLI mode
E0925 17:52:37.462904     575 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.462909       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0925 17:52:37.462924       1 common.go:174] CLI app data directory: /home/noah/.gemini/antigravity-cli
I0925 17:52:37.462939       1 server.go:315] Creating CLI server backend: product=antigravity workspaceDirs=[/mnt/nvme-raid0/tmp/xpile-qh] appDataDir=/home/noah/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0925 17:52:37.463015       1 auth_provider.go:952] [AuthProvider] SetEnableBusinessLogin called with enable: true
W0925 17:52:37.465192     581 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.465265     581 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0925 17:52:37.465390       1 server.go:2166] Backend project ID updated dynamically to: default-cli-project
I0925 17:52:37.465468       1 analytics.go:186] CLI startup completed (took 195.644122ms)
I0925 17:52:37.465530       1 printmode.go:181] Print mode: starting (promptLength=57, model="gemini-3.1-pro-high", conversationID="")
I0925 17:52:37.465565       1 manager.go:443] Initializing CLI store manager for workspace /mnt/nvme-raid0/tmp/xpile-qh
W0925 17:52:37.465548     581 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.465683     581 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.466587     581 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.466597       1 cli_setting_manager.go:153] applyUserSettings: stored shared config permissions: allow=17 deny=0 ask=0 from /home/noah/.gemini/config/config.json
E0925 17:52:37.466621     581 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0925 17:52:37.466624       1 cli_setting_manager.go:92] CLI settings initialized: permissions=&{Allow:[command(git status) command(git checkout) command(env) command(tar) command(grep)] Deny:[] Ask:[]}, toolPermission=request-review
W0925 17:52:37.466719     581 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.466735     581 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.466825     581 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.466839     581 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.466880     581 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.466890     581 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.466937     581 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.466950     581 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.466986     581 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.466997     581 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.467118     617 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.467143     617 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.467187     617 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.467200     617 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0925 17:52:37.469725       1 hooks_manager.go:53] loaded 1 named hooks from 1 hooks.json file(s)
I0925 17:52:37.469767       1 manager.go:627] CLI store manager initialized successfully
I0925 17:52:37.469784       1 session.go:77] Print mode: --dangerously-skip-permissions set, auto-approving all tool permissions
I0925 17:52:37.469794       1 session.go:86] Print mode: enabling terminal sandbox for this session
I0925 17:52:37.555672     158 store_client.go:747] summary store: reconciliation complete, synced 2585 records
W0925 17:52:37.555810     158 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.555838     158 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.555948     158 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.555962     158 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0925 17:52:37.904657     661 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.904698     661 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0925 17:52:37.904761     661 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.904780     661 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0925 17:52:37.908967       1 errorreport.go:224] Unable to start git event watcher for workspace file:///mnt/nvme-raid0/tmp/xpile-qh: failed to create git event watcher for /mnt/nvme-raid0/tmp/xpile-qh: couldn't initialize inotify: too many open files: couldn't initialize inotify: too many open files
I0925 17:52:37.909148     664 manager.go:1331] Reloading system slash commands and skills
I0925 17:52:37.909155     664 manager.go:1308] Reloading system slash commands
I0925 17:52:37.909162     664 manager.go:1312] Slash commands unchanged, skipping update
I0925 17:52:37.914727       1 hooks_manager.go:53] loaded 1 named hooks from 1 hooks.json file(s)
I0925 17:52:37.914764       1 printmode.go:372] Print mode: not authenticated, trying silent auth
I0925 17:52:37.917025     963 keyring.go:64] keyringAuth: loaded token, expiry=2026-09-25 18:05:23.584727534 +0200 CEST expired=false
I0925 17:52:38.004558       1 auth.go:157] ChainedAuth: authenticated via keyring (effective: keyring)
I0925 17:52:38.004587       1 server_oauth.go:196] applyAuthResult: email=noah.gift@gmail.com, authMethod=consumer, quotaProject=
I0925 17:52:38.004593       1 server_oauth.go:201] OAuth: authenticated successfully as noah.gift@gmail.com
I0925 17:52:38.004597       1 server_oauth.go:207] b.codeAssistClient.AuthProvider (0x2f95cf006960) is same as b.cliAuth (0x2f95cf006960)
W0925 17:52:38.004644    1253 cache.go:163] Failed to refresh cache in background: admin controls not applicable
W0925 17:52:38.004665    1086 cache.go:163] Failed to refresh cache in background: admin controls not applicable
I0925 17:52:38.586358     880 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x68ebc88c8c6577cd
I0925 17:52:39.029898     881 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x392540c395882644
I0925 17:52:39.045439       1 model_resolver.go:93] Resolving model gemini-3.1-pro-high
I0925 17:52:39.045471       1 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
I0925 17:52:39.045500       1 printmode.go:374] Print mode: silent auth succeeded
I0925 17:52:39.045536     647 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0925 17:52:39.045547     648 experiment_manager.go:66] Starting experiment refresh after login
I0925 17:52:39.334364     648 remote_agent.go:156] Remote agent fastpush pin gate changed: false -> true
I0925 17:52:39.334563     648 server.go:3770] [RemoteControl] Session toggle is off, staying disconnected
I0925 17:52:39.334572     648 server.go:3481] [RemoteControl] Resolved proxyServerURL: ""
I0925 17:52:39.334585     648 experiment_manager.go:70] Experiments refreshed after login
W0925 17:52:39.334635     648 permissions.go:216] Invalid "unsandboxed" permission rules found; they are ignored and grant nothing:
  ~/.gemini/config/config.json:
    • unsandboxed(mkdir -p .agents/skills && cp -r .claude/skills/* .agents/skills/ && find .agents/skills -type f -name "skill.md" -execdir mv {} SKILL.md \;)
    • unsandboxed(mkdir)

Fix: replace "unsandboxed" with "command" (e.g. command(git status)), or remove the rule. Edit the file directly or use /permissions.
I0925 17:52:39.335974     939 manager.go:1308] Reloading system slash commands
I0925 17:52:39.454239    1277 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x897ce884c6484a7a
I0925 17:52:39.923980    1277 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x503650ce3d04d56
I0925 17:52:40.012612    1277 model_resolver.go:93] Resolving model gemini-3.1-pro-high
I0925 17:52:40.012643    1277 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
I0925 17:52:40.012699     647 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0925 17:52:40.012682     648 experiment_manager.go:66] Starting experiment refresh after login
I0925 17:52:40.012764    1331 model_resolver.go:93] Resolving model gemini-3.1-pro-high
I0925 17:52:40.012791    1331 model_config_manager.go:327] Propagating selected model override to backend: label="Gemini 3.1 Pro (High)"
I0925 17:52:40.045671       1 model_resolver.go:93] Resolving model gemini-3.1-pro-high
I0925 17:52:40.045701       1 conversation_manager.go:512] Starting new conversation (agent=false)
I0925 17:52:40.045713       1 server.go:1204] Creating new cascade trajectory (agentScript=false)
I0925 17:52:40.045718       1 server.go:1207] Conversation using project ID: default-cli-project
I0925 17:52:40.062498       1 server.go:1239] Created conversation 36859f83-1b74-4628-93ea-934df9924505
I0925 17:52:40.062566       1 server.go:3166] GetConversationDetail: found conversation 36859f83-1b74-4628-93ea-934df9924505 (active=true)
I0925 17:52:40.062965       1 server.go:3166] GetConversationDetail: found conversation 36859f83-1b74-4628-93ea-934df9924505 (active=true)
I0925 17:52:40.062994       1 conversation_manager.go:559] project: switching to conversation belonging to project ID: default-cli-project
I0925 17:52:40.063037       1 server.go:2166] Backend project ID updated dynamically to: default-cli-project
I0925 17:52:40.063044       1 cli_setting_manager.go:218] ApplyProjectPermissionGrants: no grants for project "CLI Project", cleared project permissions
I0925 17:52:40.063051       1 conversation_manager.go:605] project: synced active project to "CLI Project" (id=default-cli-project) from conversation switch
I0925 17:52:40.063060       1 conversation_manager.go:887] Streaming conversation 36859f83-1b74-4628-93ea-934df9924505
I0925 17:52:40.063071    1352 manager.go:1331] Reloading system slash commands and skills
I0925 17:52:40.063102    1352 manager.go:1308] Reloading system slash commands
I0925 17:52:40.063090       1 server.go:3166] GetConversationDetail: found conversation 36859f83-1b74-4628-93ea-934df9924505 (active=true)
I0925 17:52:40.063666       1 server.go:1248] Starting conversation update stream for 36859f83-1b74-4628-93ea-934df9924505
I0925 17:52:40.063694       1 session.go:180] Print mode: conversation=36859f83-1b74-4628-93ea-934df9924505, sending message
I0925 17:52:40.063702       1 manager.go:1308] Reloading system slash commands
I0925 17:52:40.065770    1352 manager.go:1312] Slash commands unchanged, skipping update
I0925 17:52:40.066177       1 manager.go:1312] Slash commands unchanged, skipping update
I0925 17:52:40.066207       1 conversation_manager.go:699] Forwarding user message to conversation 36859f83-1b74-4628-93ea-934df9924505 (items=1, media=0)
I0925 17:52:40.066214       1 server.go:1801] Sending user message to conversation 36859f83-1b74-4628-93ea-934df9924505 (items=1, media=0)
I0925 17:52:40.067049       1 latency_breakdown.go:142] SEND_USER_CASCADE_MESSAGE_LATENCY latency breakdown: map[active_user_state_latency_ms:0 blocking:false cascade_id:36859f83-1b74-4628-93ea-934df9924505 cascade_send_latency_ms:0 hydrate_slash_commands_latency_ms:0 load_trajectory_latency_ms:0 media_count:0 media_summaries_latency_ms:0 message_origin:AGENT_MESSAGE_ORIGIN_UNSPECIFIED resolve_agent_config_latency_ms:0 save_media_latency_ms:0 saved_media_count:0 status:OK total_latency_ms:0 trajectory_id:0573614a-c602-4695-886e-f7b45e0ebd2d]
I0925 17:52:40.174242     647 quota_manager.go:45] doRefreshQuota: starting reload (force=true)
I0925 17:52:40.180012     648 server.go:3770] [RemoteControl] Session toggle is off, staying disconnected
I0925 17:52:40.180046     648 server.go:3481] [RemoteControl] Resolved proxyServerURL: ""
I0925 17:52:40.180052     648 experiment_manager.go:70] Experiments refreshed after login
I0925 17:52:40.180089     648 experiment_manager.go:66] Starting experiment refresh after login
I0925 17:52:40.180143     345 manager.go:1308] Reloading system slash commands
I0925 17:52:40.182717     345 manager.go:1312] Slash commands unchanged, skipping update
I0925 17:52:40.278013    1325 monitor_config_manager_external.go:53] externalMonitorConfigManager: initialized with embedded config (2 monitors)
I0925 17:52:40.278049    1325 monitoring.go:327] [Sonar] Resolved active tags: [policy_guardian] (detected surface: "")
I0925 17:52:40.278064    1325 monitoring.go:327] [Sonar] Resolved active tags: [policy_guardian] (detected surface: "")
W0925 17:52:40.278070    1325 declarative_config_loader.go:272] skipping component during resolution: empty component: prompt section "subagent_reminder"
W0925 17:52:40.278081    1325 declarative_config_loader.go:272] skipping component during resolution: empty component: pre-tool hook "command_assessor" is empty
W0925 17:52:40.278085    1325 declarative_config_loader.go:272] skipping component during resolution: empty component: post-tool hook "command_assessor" is empty
I0925 17:52:40.389240     648 server.go:3770] [RemoteControl] Session toggle is off, staying disconnected
I0925 17:52:40.389263     648 server.go:3481] [RemoteControl] Resolved proxyServerURL: ""
I0925 17:52:40.389268     648 experiment_manager.go:70] Experiments refreshed after login
I0925 17:52:40.389293    2074 manager.go:1308] Reloading system slash commands
I0925 17:52:40.392259    2074 manager.go:1312] Slash commands unchanged, skipping update
I0925 17:52:40.641033    1512 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3f7d53566944aa2c ResponseID: yJi2asC7DJGykdUPkaSx6Qw
I0925 17:52:40.978523    1330 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x68f04b7baab3b475
I0925 17:52:45.602342    1873 http_helpers.go:305] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xee85a5a906b05cb3 ResponseID: yZi2auvOAZi7nsEPhojSwQ0
I0925 17:52:45.625587       1 manager.go:807] CLI store manager shutting down
I0925 17:52:45.627880       1 conversation_manager.go:844] Stopping conversation stream
I0925 17:52:45.627972    1318 server.go:1296] Stream goroutine exited for 36859f83-1b74-4628-93ea-934df9924505, sending completion signal
I0925 17:52:45.628103    2133 server.go:2932] Language server shutting down
I0925 17:52:45.628111    2133 server.go:2937] Waiting for migrations to complete to prevent partial migration state...
